institution_name,longitude,latitude,fips_state_code,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Aaniiih Nakoda College,-108.757816,48.484196,Montana,150.0,108.0,42.0,Public,2-year
Abilene Christian University,-99.709797,32.468943,Texas,5204.0,3730.0,1474.0,Private not-for-profit,4-year or above
Abraham Baldwin Agricultural College,-83.528281,31.481889,Georgia,4291.0,2660.0,1631.0,Public,4-year or above
Abraham Lincoln University,-118.256726,34.146294,California,217.0,194.0,23.0,Private for-profit,4-year or above
Academy College,-93.299809,44.855722,Minnesota,99.0,81.0,18.0,Private for-profit,4-year or above
Academy for Nursing and Health Occupations,-80.12149699999998,26.70653,Florida,466.0,417.0,49.0,Private not-for-profit,2-year
Academy of Art University,-122.400578,37.787943,California,10616.0,6175.0,4441.0,Private for-profit,4-year or above
Academy of Interactive Entertainment,-92.043315,30.220037,Louisiana,64.0,64.0,0.0,Private not-for-profit,2-year
Academy of Natural Therapy Inc,-104.691075,40.426259,Colorado,46.0,0.0,46.0,Private for-profit,2-year
Acupuncture and Massage College,-80.364141,25.686382,Florida,169.0,169.0,0.0,Private for-profit,4-year or above
Adams State University,-105.879642,37.473636,Colorado,3110.0,1878.0,1232.0,Public,4-year or above
Adelphi University,-73.65332099999998,40.721439,New York,8146.0,6562.0,1584.0,Private not-for-profit,4-year or above
Adirondack Community College,-73.654813,43.351839,New York,3727.0,2090.0,1637.0,Public,2-year
Adrian College,-84.061481,41.898591,Michigan,1856.0,1781.0,75.0,Private not-for-profit,4-year or above
Advance Science International College,-80.307736,25.855863,Florida,9.0,9.0,0.0,Private for-profit,2-year
Advanced College,-118.15794,33.915383,California,9.0,9.0,0.0,Private for-profit,2-year
Advanced College-Stockton,-121.29453,38.02555200000001,California,53.0,31.0,22.0,Private for-profit,2-year
Advanced Technology Institute,-76.18226800000002,36.841381,Virginia,609.0,609.0,0.0,Private for-profit,2-year
Advanced Training Associates,-116.981781,32.819023,California,96.0,96.0,0.0,Private for-profit,2-year
